index,Event_code
1051,CAM-QAJA013
1052,LPP-2209460
1053,CAM-HBQK040
1054,ATC-S01GX03
1055,LPP-7212410
1056,BIO-3784
1057,BIO-388
1058,LPP-6150686
1059,LPP-1292105
1060,ATC-A06AG20
1061,CAM-LAQK001
1062,CAM-LGQK001
1063,LPP-2494897
1064,CAM-DKRP004
1065,LPP-7239879
1066,BIO-1106
1067,ICD-Q556
1068,CAM-JEMA021
1069,ICD-N360
1070,ICD-T818
1071,ICD-Y838
1072,ICD-Z877
1073,CAM-JEMA011
1074,CAM-GLQP012
1075,LPP-7224079
1076,LPP-7231866
1077,CAM-LAQK003
1078,BIO-237
1079,BIO-215
1080,BIO-4218
1081,LPP-1120686
1082,LPP-6323810
1083,LPP-6324821
1084,CAM-NFQK001
1085,BIO-1520
1086,BIO-4719
1087,CAM-NZQK005
1088,ICD-Q359
1089,CAM-ANMP001
1090,CAM-HASD007
1091,ICD-Q355
1092,ICD-J952
1093,CAM-HASA013
1094,BIO-1736
1095,CAM-HFHD001
1096,ICD-S008
1097,ICD-W080
1098,ICD-R590
1099,LPP-6311439
1100,CAM-ZCQM001
1101,BIO-350
1102,BIO-8000
1103,LPP-7231895
1104,ICD-P241
1105,LPP-1180837
1106,ICD-N508
1107,LPP-2291480
1108,LPP-7248200
1109,LPP-7239750
1110,ICD-K561
1111,CAM-HGEH001
1112,CAM-HZQM001
1113,ATC-R05CA10
1114,LPP-7248051
1115,LPP-7212107
1116,BIO-1768
1117,BIO-1773
1118,BIO-570
1119,LPP-7248157
1120,LPP-7215548
1121,LPP-6312284
1122,LPP-6317130
1123,CAM-NBQK001
1124,ICD-S900
1125,ICD-Z532
1126,ICD-P769
1127,ICD-K920
1128,CAM-EQLF002
1129,ICD-R933
1130,ICD-Z115
1131,CAM-CDQP006
1132,CAM-HAHD001
1133,LPP-1119045
1134,LPP-1108739
1135,LPP-6311008
1136,CAM-LHQK007
1137,CAM-PAQK002
1138,BIO-1136
1139,BIO-1135
1140,BIO-1802
1141,BIO-1134
1142,ICD-H908
1143,LPP-1378031
1144,ICD-P219
1145,ICD-Q381
1146,LPP-6110669
1147,LPP-6370749
1148,ICD-P042
1149,ICD-P158
1150,ATC-J01DB01
1151,LPP-6363560
1152,CAM-AAQN002
1153,ICD-G402
1154,ICD-R568
1155,CAM-ADQP007
1156,ICD-Z099
1157,ICD-G404
1158,ICD-F709
1159,ATC-N03AX09
1160,ICD-F799
1161,ICD-R940
1162,ICD-Z922
1163,LPP-1187331
1164,ATC-H02AB09
1165,ICD-F719
1166,ICD-U900
1167,ATC-N03AX11
1168,LPP-2620400
1169,LPP-2681257
1170,ATC-N03AF03
1171,ATC-N03AG04
1172,ICD-Z092
1173,ICD-F729
1174,ATC-V03AF03
1175,LPP-2787961
1176,LPP-2790986
1177,LPP-2749469
1178,LPP-2700724
1179,LPP-2704780
1180,LPP-2777916
1181,LPP-2760778
1182,LPP-2740847
1183,LPP-2791218
1184,LPP-2777595
1185,ATC-N05BA09
1186,LPP-9364838
1187,LPP-9257746
1188,LPP-9364778
1189,LPP-9364761
1190,LPP-9364784
1191,LPP-6356040
1192,ATC-N03AX22
1193,ICD-G400
1194,LPP-9324804
1195,LPP-9124689
1196,CAM-ADLA001
1197,ICD-Z489
1198,LPP-6314604
1199,LPP-2683517
1200,LPP-2673559
1201,LPP-2652988
1202,LPP-2622160
1203,LPP-7230826
1204,CAM-HEQD002
1205,ICD-R11
1206,ATC-N03AX24
1207,LPP-1262699
1208,LPP-4302152
1209,CAM-HBGD036
1210,LPP-2714382
1211,BIO-340
1212,BIO-1662
1213,BIO-1659
1214,CAM-EPLF001
1215,ICD-P285
1216,LPP-6325192
1217,LPP-6327067
1218,ICD-Z011
1219,ATC-R06AX13
1220,CAM-AHLB005
1221,CAM-JHPA001
1222,CAM-NZQK001
1223,CAM-LEQK002
1224,CAM-LHQK004
1225,ICD-P229
1226,ICD-Z130
1227,ICD-R258
1228,BIO-4273
1229,LPP-1178869
1230,ICD-E878
1231,ICD-P220
1232,ICD-P741
1233,ICD-Z598
1234,BIO-180
1235,BIO-5225
1236,BIO-1153
1237,ICD-T808
1238,ICD-Y848
1239,ICD-Z112
1240,CAM-BGQP004
1241,ICD-B369
1242,ICD-B963
1243,ICD-J050
1244,ICD-B49
1245,ICD-R53+
1246,ICD-A020
1247,ICD-A082
1248,ICD-K088
1249,ICD-G408
1250,LPP-6311043
1251,ICD-E835
1252,LPP-2234050
1253,LPP-7255281
1254,LPP-1314953
1255,LPP-6312456
1256,LPP-6330187
1257,ICD-Q663
1258,ICD-P360
1259,ICD-K598
1260,ICD-P298
1261,ICD-P614
1262,ICD-Q660
1263,ICD-R010
1264,ICD-P238
1265,ICD-Q661
1266,ICD-Q668
1267,LPP-7133477
1268,LPP-6111077
1269,LPP-1183014
1270,LPP-6124134
1271,CAM-QCJA003
1272,CAM-GELD003
1273,ICD-B953
1274,ICD-P251
1275,ICD-P283
1276,ICD-Z763
1277,ICD-P123
1278,BIO-2000
1279,BIO-548
1280,CAM-HBGD093
1281,ICD-K022
1282,LPP-6323900
1283,ATC-V08CA02
1284,BIO-4050
1285,ICD-P249
1286,CAM-JHDA001
1287,ICD-Q530
1288,BIO-1252
1289,ICD-P748
1290,CAM-FAFA013
1291,ATC-J01DC02
1292,ICD-J128
1293,ATC-V08AA01
1294,LPP-7229800
1295,CAM-BJMA003
1296,LPP-7248230
1297,LPP-7246460
1298,LPP-7230631
1299,ICD-F809
1300,CAM-CDRP001
1301,BIO-1016
1302,BIO-179
1303,BIO-178
1304,CAM-JHEA002
